image_url,status,price,address,city_state,description,features,badges
background-image:url('https://listingmedia7.harstatic.com/430927449/lr/1.jpeg');,,"$460,000",1102 Thoreau Ln,1102 Thoreau Ln,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,754  Sqft. ($262/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1982  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430927566/lr/1.jpeg');,,"$180,000",TBD 213758 Old Sherman Rd,TBD 213758 Old Sherman Rd,"
                    For Sale, Land / Unimproved Land",['3.2   Acres'],[]
background-image:url('https://photos.harstatic.com/277095992/lr/img-1.jpeg?ts=2023-08-25T23:21:15.323');,,"$189,900",3803 Barrington St 8D,3803 Barrington St 8D,"
                    For Sale, Townhouse/Condo","['3  bedrooms', '1,820  Sqft. ($104/Sqft.)', '3  full baths', '2  stories']",[]
background-image:url('https://listingmedia7.harstatic.com/430894889/lr/1.jpeg');,,"$513,995",159 Saddle Horn Trl,159 Saddle Horn Trl,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,649  Sqft. ($194/Sqft.)', '3  full baths', '1.2   Acres', '1  story', '2023  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430895758/lr/1.jpeg');,,"$140,000",2940 Elliott St,2940 Elliott St,"
                    For Sale, Residential - Single Family","['2  bedrooms', '1,160  Sqft. ($121/Sqft.)', '1  full baths', '0.2   Acres', '1  story', '1950  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430895632/lr/1.jpeg');,,"$489,000",188 Saddle Horn Trl,188 Saddle Horn Trl,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,522  Sqft. ($194/Sqft.)', '2 full & 1  half baths', '1.2   Acres', '1  story', '2023  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430896936/lr/1.jpeg');,,"$622,500",5808 Carb Dr,5808 Carb Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,530  Sqft. ($246/Sqft.)', '3 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
background-image:url('https://listingmedia7.harstatic.com/430869321/lr/1.jpeg');,,"$299,000",1333 Amos St,1333 Amos St,"
                    For Sale, Land / Unimproved Land",['0.1   Acres'],[]
background-image:url('https://listingmedia7.harstatic.com/430897967/lr/1.jpeg');,,"$535,500",180 Lucky Ridge Ln,180 Lucky Ridge Ln,"
                    For Sale, Residential - Single Family","['4  bedrooms', '2,649  Sqft. ($202/Sqft.)', '3  full baths', '1   Acres', '1  story', '2023  year built']",[]
,,"$337,500",5120 Stoneridge Dr,5120 Stoneridge Dr,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,917  Sqft. ($176/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '2023  year built']",[]
,,"$337,250",5416 Stonegate Cir,5416 Stonegate Cir,"
                    For Sale, Residential - Single Family","['4  bedrooms', '1,912  Sqft. ($176/Sqft.)', '2 full & 1  half baths', '0.2   Acres', '2  stories', '2023  year built']",[]
,,"$417,950",2008 Rattler Way,2008 Rattler Way,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,192  Sqft. ($191/Sqft.)', '2 full & 1  half baths', '0.3   Acres', '1  story', '2023  year built']",[]
,,"$412,500",2011 Rattler Way,2011 Rattler Way,"
                    For Sale, Residential - Single Family","['3  bedrooms', '2,192  Sqft. ($188/Sqft.)', '2 full & 1  half baths', '0.3   Acres', '1  story', '2023  year built']",[]
,,"$280,000",636 Calcutta Dr,636 Calcutta Dr,"
                    For Sale, Residential - Single Family","['3  bedrooms', '1,707  Sqft. ($164/Sqft.)', '2  full baths', '0.2   Acres', '1  story', '1958  year built']",[]
